state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Alabama,AL,2020,JJA,ssp126,Low emissions (SSP126),24.680511555146158,24.680511555146158,0.0
Alabama,AL,2021,JJA,ssp126,Low emissions (SSP126),28.238230793058946,24.680511555146158,3.55771923791279
Alabama,AL,2022,JJA,ssp126,Low emissions (SSP126),25.32138367947813,24.680511555146158,0.6408721243319735
Alabama,AL,2023,JJA,ssp126,Low emissions (SSP126),25.333490275856,24.680511555146158,0.6529787207098412
Alabama,AL,2024,JJA,ssp126,Low emissions (SSP126),26.772844469101802,24.680511555146158,2.092332913955646
Alabama,AL,2025,JJA,ssp126,Low emissions (SSP126),27.379123150367015,24.680511555146158,2.698611595220856
Alabama,AL,2026,JJA,ssp126,Low emissions (SSP126),25.15512922175868,24.680511555146158,0.4746176666125185
Alabama,AL,2027,JJA,ssp126,Low emissions (SSP126),25.28422639172079,24.680511555146158,0.603714836574627
Alabama,AL,2028,JJA,ssp126,Low emissions (SSP126),24.570242403752257,24.680511555146158,-0.11026915139390629
Alabama,AL,2029,JJA,ssp126,Low emissions (SSP126),26.685002914242958,24.680511555146158,2.0044913590967965
Alabama,AL,2030,JJA,ssp126,Low emissions (SSP126),25.48286567132319,24.680511555146158,0.8023541161770322
Alabama,AL,2031,JJA,ssp126,Low emissions (SSP126),25.126212976092095,24.680511555146158,0.44570142094593335
Alabama,AL,2032,JJA,ssp126,Low emissions (SSP126),27.380033779055044,24.680511555146158,2.699522223908885
Alabama,AL,2033,JJA,ssp126,Low emissions (SSP126),24.87712264200095,24.680511555146158,0.19661108685478645
Alabama,AL,2034,JJA,ssp126,Low emissions (SSP126),25.587142554177962,24.680511555146158,0.9066309990317978
Alabama,AL,2035,JJA,ssp126,Low emissions (SSP126),25.19712558225394,24.680511555146158,0.5166140271077804
Alabama,AL,2036,JJA,ssp126,Low emissions (SSP126),24.30367546114654,24.680511555146158,-0.376836093999621
Alabama,AL,2037,JJA,ssp126,Low emissions (SSP126),26.29332631778982,24.680511555146158,1.6128147626436593
Alabama,AL,2038,JJA,ssp126,Low emissions (SSP126),25.95930087424445,24.680511555146158,1.2787893190982917
Alabama,AL,2039,JJA,ssp126,Low emissions (SSP126),26.203048972312207,24.680511555146158,1.522537417166046
Alabama,AL,2040,JJA,ssp126,Low emissions (SSP126),25.337394176715218,24.680511555146158,0.6568826215690571
Alabama,AL,2041,JJA,ssp126,Low emissions (SSP126),25.988022689301406,24.680511555146158,1.3075111341552448
Alabama,AL,2042,JJA,ssp126,Low emissions (SSP126),26.501330369292937,24.680511555146158,1.8208188141467787
Alabama,AL,2043,JJA,ssp126,Low emissions (SSP126),25.355413838788127,24.680511555146158,0.6749022836419684
Alabama,AL,2044,JJA,ssp126,Low emissions (SSP126),25.329915693036405,24.680511555146158,0.649404137890241
Alabama,AL,2045,JJA,ssp126,Low emissions (SSP126),24.964883929392236,24.680511555146158,0.2843723742460826
Alabama,AL,2046,JJA,ssp126,Low emissions (SSP126),27.05644523316534,24.680511555146158,2.375933678019179
Alabama,AL,2047,JJA,ssp126,Low emissions (SSP126),26.447489099910985,24.680511555146158,1.7669775447648257
Alabama,AL,2048,JJA,ssp126,Low emissions (SSP126),25.55199964305677,24.680511555146158,0.8714880879106103
Alabama,AL,2049,JJA,ssp126,Low emissions (SSP126),26.330118788341945,24.680511555146158,1.6496072331957843
Alabama,AL,2050,JJA,ssp126,Low emissions (SSP126),27.105764316843242,24.680511555146158,2.4252527616970827
Alabama,AL,2051,JJA,ssp126,Low emissions (SSP126),26.161753731667197,24.680511555146158,1.481242176521035
Alabama,AL,2052,JJA,ssp126,Low emissions (SSP126),25.522484903626953,24.680511555146158,0.8419733484807955
Alabama,AL,2053,JJA,ssp126,Low emissions (SSP126),27.878428979795448,24.680511555146158,3.1979174246492867
Alabama,AL,2054,JJA,ssp126,Low emissions (SSP126),25.811389877609212,24.680511555146158,1.1308783224630516
Alabama,AL,2055,JJA,ssp126,Low emissions (SSP126),25.392909227530176,24.680511555146158,0.7123976723840193
Alabama,AL,2056,JJA,ssp126,Low emissions (SSP126),25.989756054980486,24.680511555146158,1.3092444998343298
Alabama,AL,2057,JJA,ssp126,Low emissions (SSP126),26.046268177772983,24.680511555146158,1.365756622626825
Alabama,AL,2058,JJA,ssp126,Low emissions (SSP126),25.910938899094432,24.680511555146158,1.2304273439482751
Alabama,AL,2059,JJA,ssp126,Low emissions (SSP126),25.907152841157178,24.680511555146158,1.226641286011018
Alabama,AL,2060,JJA,ssp126,Low emissions (SSP126),24.82824602774764,24.680511555146158,0.1477344726014772
Alabama,AL,2061,JJA,ssp126,Low emissions (SSP126),25.142717458492413,24.680511555146158,0.46220590334624995
Alabama,AL,2062,JJA,ssp126,Low emissions (SSP126),25.662490691876176,24.680511555146158,0.9819791367300134
Alabama,AL,2063,JJA,ssp126,Low emissions (SSP126),26.795266300028196,24.680511555146158,2.1147547448820365
Alabama,AL,2064,JJA,ssp126,Low emissions (SSP126),25.633499447171165,24.680511555146158,0.9529878920250023
Alabama,AL,2065,JJA,ssp126,Low emissions (SSP126),26.018371364412943,24.680511555146158,1.337859809266782
Alabama,AL,2066,JJA,ssp126,Low emissions (SSP126),25.81228769086529,24.680511555146158,1.1317761357191327
Alabama,AL,2067,JJA,ssp126,Low emissions (SSP126),24.937513273011845,24.680511555146158,0.25700171786568027
Alabama,AL,2068,JJA,ssp126,Low emissions (SSP126),25.945166220927966,24.680511555146158,1.2646546657818107
Alabama,AL,2069,JJA,ssp126,Low emissions (SSP126),24.729510942089732,24.680511555146158,0.04899938694357251
Alabama,AL,2070,JJA,ssp126,Low emissions (SSP126),26.06716629732231,24.680511555146158,1.3866547421761484
Alabama,AL,2020,JJA,ssp245,Medium emissions (SSP245),24.85563243918886,24.85563243918886,0.0
Alabama,AL,2021,JJA,ssp245,Medium emissions (SSP245),26.131856114853512,24.85563243918886,1.276223675664657
Alabama,AL,2022,JJA,ssp245,Medium emissions (SSP245),24.95881816793962,24.85563243918886,0.10318572875075757
Alabama,AL,2023,JJA,ssp245,Medium emissions (SSP245),25.871944437258467,24.85563243918886,1.0163119980696191
Alabama,AL,2024,JJA,ssp245,Medium emissions (SSP245),25.25269384458345,24.85563243918886,0.3970614053945943
Alabama,AL,2025,JJA,ssp245,Medium emissions (SSP245),26.51831698354455,24.85563243918886,1.6626845443556952
Alabama,AL,2026,JJA,ssp245,Medium emissions (SSP245),25.87234034542185,24.85563243918886,1.016707906232994
Alabama,AL,2027,JJA,ssp245,Medium emissions (SSP245),27.174720226221083,24.85563243918886,2.319087787032227
Alabama,AL,2028,JJA,ssp245,Medium emissions (SSP245),25.564842438621962,24.85563243918886,0.7092099994331091
Alabama,AL,2029,JJA,ssp245,Medium emissions (SSP245),25.94456999974279,24.85563243918886,1.0889375605539353
Alabama,AL,2030,JJA,ssp245,Medium emissions (SSP245),25.400796272090236,24.85563243918886,0.5451638329013773
Alabama,AL,2031,JJA,ssp245,Medium emissions (SSP245),26.36713460897767,24.85563243918886,1.5115021697888111
Alabama,AL,2032,JJA,ssp245,Medium emissions (SSP245),25.319930656112884,24.85563243918886,0.46429821692403267
Alabama,AL,2033,JJA,ssp245,Medium emissions (SSP245),25.778278654286307,24.85563243918886,0.9226462150974499
Alabama,AL,2034,JJA,ssp245,Medium emissions (SSP245),26.333402976466317,24.85563243918886,1.4777705372774583
Alabama,AL,2035,JJA,ssp245,Medium emissions (SSP245),25.236432529120602,24.85563243918886,0.3808000899317483
Alabama,AL,2036,JJA,ssp245,Medium emissions (SSP245),26.49819775596064,24.85563243918886,1.642565316771786
Alabama,AL,2037,JJA,ssp245,Medium emissions (SSP245),26.490004706317855,24.85563243918886,1.634372267129
Alabama,AL,2038,JJA,ssp245,Medium emissions (SSP245),27.044885725733913,24.85563243918886,2.1892532865450556
Alabama,AL,2039,JJA,ssp245,Medium emissions (SSP245),26.53288525782319,24.85563243918886,1.6772528186343343
Alabama,AL,2040,JJA,ssp245,Medium emissions (SSP245),26.047253909564386,24.85563243918886,1.1916214703755306
Alabama,AL,2041,JJA,ssp245,Medium emissions (SSP245),26.710460999751373,24.85563243918886,1.8548285605625165
Alabama,AL,2042,JJA,ssp245,Medium emissions (SSP245),27.368143460643058,24.85563243918886,2.5125110214542072
Alabama,AL,2043,JJA,ssp245,Medium emissions (SSP245),25.718608601486853,24.85563243918886,0.8629761622979994
Alabama,AL,2044,JJA,ssp245,Medium emissions (SSP245),25.633363871160352,24.85563243918886,0.7777314319715012
Alabama,AL,2045,JJA,ssp245,Medium emissions (SSP245),27.444683502647614,24.85563243918886,2.5890510634587547
Alabama,AL,2046,JJA,ssp245,Medium emissions (SSP245),25.818738078645005,24.85563243918886,0.9631056394561477
Alabama,AL,2047,JJA,ssp245,Medium emissions (SSP245),24.975121694102516,24.85563243918886,0.1194892549136576
